Financial Year,Period,Organisational Name,KPI Name,EJT for Period,EJT Year to Date
2016-17,1,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.61,1.61
2016-17,1,Line Operations - Central Line,Excess Journey Time - Trains,2.72,2.72
2016-17,1,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.55,3.55
2016-17,1,Line Operations - District Line,Excess Journey Time - Trains,2.81,2.81
2016-17,1,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.41,1.41
2016-17,1,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.18,1.18
2016-17,1,Line Operations - Northern Line,Excess Journey Time - Trains,1.33,1.33
2016-17,1,Line Operations - Piccadilly Line,Excess Journey Time - Trains,1.76,1.76
2016-17,1,Line Operations - Victoria Line,Excess Journey Time - Trains,0.73,0.73
2016-17,1,London Underground Network,Excess Journey Time - Total,4.04,4.04
2016-17,2,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.27,1.44
2016-17,2,Line Operations - Central Line,Excess Journey Time - Trains,2.71,2.71
2016-17,2,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.94,3.25
2016-17,2,Line Operations - District Line,Excess Journey Time - Trains,2.79,2.8
2016-17,2,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.36,1.38
2016-17,2,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.85,1.52
2016-17,2,Line Operations - Northern Line,Excess Journey Time - Trains,1.92,1.62
2016-17,2,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.07,1.92
2016-17,2,Line Operations - Victoria Line,Excess Journey Time - Trains,1.03,0.88
2016-17,2,London Underground Network,Excess Journey Time - Total,4.2,4.12
2016-17,3,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.85,1.57
2016-17,3,Line Operations - Central Line,Excess Journey Time - Trains,2.63,2.69
2016-17,3,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,5.34,3.94
2016-17,3,Line Operations - District Line,Excess Journey Time - Trains,3.61,3.07
2016-17,3,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.52,1.43
2016-17,3,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.46,1.83
2016-17,3,Line Operations - Northern Line,Excess Journey Time - Trains,1.15,1.46
2016-17,3,Line Operations - Piccadilly Line,Excess Journey Time - Trains,1.92,1.92
2016-17,3,Line Operations - Victoria Line,Excess Journey Time - Trains,0.79,0.85
2016-17,3,London Underground Network,Excess Journey Time - Total,4.44,4.23
2016-17,4,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.41,1.53
2016-17,4,Line Operations - Central Line,Excess Journey Time - Trains,3.2,2.81
2016-17,4,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.69,3.88
2016-17,4,Line Operations - District Line,Excess Journey Time - Trains,2.79,3
2016-17,4,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.16,1.36
2016-17,4,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.14,2.16
2016-17,4,Line Operations - Northern Line,Excess Journey Time - Trains,1.28,1.42
2016-17,4,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.06,1.96
2016-17,4,Line Operations - Victoria Line,Excess Journey Time - Trains,1.36,0.98
2016-17,4,London Underground Network,Excess Journey Time - Total,4.39,4.27
2016-17,5,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.48,1.52
2016-17,5,Line Operations - Central Line,Excess Journey Time - Trains,1.93,2.64
2016-17,5,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.31,3.77
2016-17,5,Line Operations - District Line,Excess Journey Time - Trains,2.78,2.95
2016-17,5,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.09,1.31
2016-17,5,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.63,2.05
2016-17,5,Line Operations - Northern Line,Excess Journey Time - Trains,2.14,1.56
2016-17,5,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.43,2.05
2016-17,5,Line Operations - Victoria Line,Excess Journey Time - Trains,0.54,0.89
2016-17,5,London Underground Network,Excess Journey Time - Total,4.04,4.22
