Financial Year,Period,Bakerloo,Central,C&H,District,Jubilee,Metropolitan,Northern,Piccadilly,Victoria,Waterloo & City,Network
2016-17,1,"112,578","477,818","192,065","214,682","247,373","89,559","207,184","125,575","159,153","18,615","1,844,602"
2016-17,2,"76,720","458,195","154,797","169,790","199,036","96,922","216,041","121,990","152,276","2,559","1,648,326"
2016-17,3,"112,550","496,322","229,491","291,150","228,329","187,294","196,815","161,332","190,018","13,361","2,106,662"
2016-17,4,"101,499","798,680","268,184","170,682","235,013","182,506","176,183","162,980","393,877","4,043","2,493,647"
2016-17,5,"96,403","477,322","223,574","165,369","225,339","147,445","273,465","200,244","205,436","7,379","2,021,978"
2016-17,6,"145,337","641,638","261,515","192,771","223,271","138,292","187,212","233,146","166,393","3,611","2,193,185"
2016-17,7,"117,925","643,405","154,909","226,247","147,171","107,252","146,064","196,498","224,291","6,278","1,970,039"
2016-17,8,"121,844","563,104","362,976","206,213","241,853","100,954","186,487","293,900","189,783","6,238","2,273,351"
2016-17,9,"117,843","982,319","313,281","158,158","267,090","112,132","373,999","2,084,103","201,823","12,139","4,622,885"
2016-17,10,"109,611","606,783","206,081","184,724","104,525","101,941","175,995","665,091","228,735","4,438","2,387,925"
2016-17,11,"136,474","576,197","325,371","176,345","300,989","86,388","182,189","251,783","461,392","3,250","2,500,378"
2016-17,12,"148,335","401,849","214,126","210,151","282,834","109,462","343,454","322,246","196,643","8,790","2,237,890"
2016-17,13,"131,185","570,350","134,204","156,623","180,114","103,433","214,669","314,521","213,448","13,821","2,032,369"
2017-18,1,"159,245","504,126","81,202","139,570","242,339","95,523","170,389","342,234","225,964","11,649","1,972,242"
2017-18,2,"106,589","787,178","163,232","178,969","178,115","121,114","262,082","356,732","146,791","8,926","2,309,729"
2017-18,3,"120,552","796,901","116,671","235,381","305,022","104,313","300,658","462,024","297,388","9,159","2,748,069"
2017-18,4,"105,893","828,862","149,088","183,342","314,730","68,138","241,389","529,679","273,416","4,054","2,698,591"
2017-18,5,"167,558","699,680","100,802","235,905","280,449","92,707","351,230","251,453","273,815","3,782","2,457,382"
2017-18,6,"162,956","653,482","86,296","204,713","284,643","89,325","443,563","265,981","238,329","5,999","2,435,288"
2017-18,7,"173,809","620,501","138,922","255,163","295,954","176,385","327,071","248,329","348,575","12,089","2,596,796"
2017-18,8,"138,331","562,537","115,676","294,971","225,059","143,680","296,341","217,662","273,665","7,812","2,275,732"
2017-18,9,"182,138","887,639","159,477","250,634","268,320","98,020","335,942","229,541","355,577","8,632","2,775,919"
2017-18,10,"108,592","682,665","151,449","133,673","261,243","150,556","282,568","221,140","240,733","2,701","2,235,321"
2017-18,11,"130,924","830,982","139,275","224,246","293,864","132,513","199,944","261,583","219,767","17,289","2,450,386"
2017-18,12,"140,625","850,202","135,344","204,884","421,812","163,865","352,569","358,321","386,117","10,474","3,024,213"
2017-18,13,"138,213","866,140","121,485","221,773","435,935","128,427","250,509","307,578","280,633","3,876","2,754,570"
2018-19,1,"116,248","503,331","197,638","161,892","594,230","167,483","349,157","234,430","182,576","8,376","2,515,361"
2018-19,2,"114,527","546,223","138,893","193,946","248,067","72,975","327,064","195,414","273,077","12,036","2,122,222"
